"Последняя поисковая фраза","Конверсия (Успешное оформление заказа)","Достижения цели (Успешное оформление заказа)","Целевые визиты (Успешное оформление заказа)"
"Итого и средние","0.17320261437908496","107","106"
"шумовка киров","0.152","39","38"
"доставка еды киров","0.10344827586206896","12","12"
"шумовка киров калинина 40","0.0784313725490196","4","4"
"шумовка","0.05769230769230769","3","3"
"доставка еды киров шумовка","0.6666666666666665","2","2"
"доставка обедов киров домашняя еда","0.2857142857142857","2","2"
"заказ еды киров","0.1111111111111111","2","2"
"шумовка+киров+","0.6666666666666665","2","2"
"www.шумовка43.ру","1.0","1","1"
"где заказать еду киров","1.0","1","1"
"доставка горячих обедов суп 2","1.0","1","1"
"доставка еды","0.14285714285714285","1","1"
"доставка еды в выходные киров","1.0","1","1"
"доставка еды в кирове","0.1","1","1"
"доставка еды киров пельмени","1.0","1","1"
"доставка еды на дом","1.0","1","1"
"доставка еды салатов киров","1.0","1","1"
"доставка еды суп киров","1.0","1","1"
"доставка киров еды","0.2","1","1"
"доставка супов город киров","1.0","1","1"
"еда киров заказать","0.33333333333333326","1","1"
"еда на дом","1.0","1","1"
"еда на дом заказать","1.0","1","1"
"еда с доставкой до офиса киров","1.0","1","1"
"заказ еды киров на дом","1.0","1","1"
"заказ еды киров шумовка","1.0","1","1"
"заказать еду в кирове","1.0","1","1"
"заказать еду на дом киров","0.25","1","1"
"заказать пиццу и салаты кирове","1.0","1","1"
"кафе шумовка киров","0.07692307692307693","1","1"
"киров заказать еду с доставкой на дом","1.0","1","1"
"пельмени киров доставка","1.0","1","1"
"салаты доставка","1.0","1","1"
"суп киров доста","1.0","1","1"
"чебуреки доставка киров","0.5","1","1"
"чебуреки киров доставка","0.2","1","1"
"чизкейк доставка киров","1.0","1","1"
"шумоавка киров","1.0","1","1"
"шумовка 43","0.125","1","1"
"шумовка 43 киров","0.25","1","1"
"шумовка кафе","0.5","1","1"
"шумовка кафе кирове","1.0","1","1"
"шумовка киро","1.0","1","1"
"шумовка киров калинина","0.1111111111111111","1","1"
"шумовка киров калинина 40 доставка","0.5","1","1"
"шумовка киров калинина 40 доставка меню","1.0","1","1"
"шумовка киров кафе","0.5","1","1"
"шумовка киров официальный сайт","0.14285714285714285","1","1"
"шумовка+киров","0.25","1","1"
